Toy,블락비 (Block B),Blooming Period
Lucky One,EXO,EX`ACT - The 3rd Album
한숨,이하이,SEOULITE
우아해 (woo ah),Crush,Interlude
또 다시 사랑,임창정,또 다시 사랑
Rain,태연 (TAEYEON),태연 `Rain`
ALWAYS,윤미래,태양의 후예 OST Part.1
Dream Girls,아이오아이 (I.O.I),아이오아이 (I.O.I) 1st Mini Album `Chrysalis`
어쩌면 나,로이킴,또 오해영 OST Part.4
I`m Not The Only One,Sam Smith,In The Lonely Hour (Standard Edition)
Sunflower,윤하 (YOUNHA),닥터스 OST Part.2
불타오르네 (FIRE),방탄소년단,화양연화 Young Forever
Don`t Cry (우리 동네 음악대장),하현우 (국카스텐),복면가왕 50회
돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),돌아오지마
끝 (AND) (Feat. 수란),서출구,쇼미더머니 5 Episode 4
RAPSTAR (remix),"Flowsik,The Quiett,Dok2",쇼미더머니 5 Episode 3
우리가 빠지면 PARTY가 아니지,"박재범,Ugly Duck",Scene Stealers
바라지 않아 (Feat. 소정 Of 레이디스 코드),정키,LISH
사람들이 움직이는 게,악동뮤지션,사춘기 상 (思春記 上)
파도,유엔,Traveling You
다시 너를,"매드클라운,김나영",태양의 후예 OST Part.5
아름다운 그대에게,원더걸스,Why So Lonely
오늘 모해 (#WYD),iKON,오늘 모해 (#WYD)
그 해 여름 (두 번째 이야기),인피니트,그 해 여름 (두 번째 이야기)
ㅎㄷㄷ (PUT`EM UP),"박재범,Ugly Duck",Scene Stealers
유레카 (Feat. Zion.T),지코 (ZICO),GALLERY
물들어요 (Fall in Love),여자친구,여자친구 The 1st Album `LOL`
